Name,Position,Outgoing College,Incoming College
Ellie Farrell,Midfielder,Virginia Tech,James Madison
Abby Fisher,Midfielder,College of Charleston,James Madison
Ariella Pitty,Defender,Ohio State,James Madison
Elin Hansson,Forward,Lenoir-Rhyne,Xavier
Ella Garner,Defender,Lenoir-Rhyne,Xavier
Maile Hayes,Forward,Texas A&M,USC
Makoto Nezu,Defender,Santa Clara,Oregon
Sydney Cradle,Defender,Towson,Oregon
Sydney Hennessey,Defender,Tennessee,Oregon
Ella Giannola,Midfielder,Ohio State,Tennesee
Caroline Kelly,Forward,Saint Louis,TCU
Maci Teater,Midfielder,North Carolina,Vanderbilt
Vivian Akyirem,Forward,Northeastern,Vanderbilt
Kendal Johnson,Forward,Mississippi State,UT Martin
Bailey Herfurth,Goalkeeper,LSU,West Virginia
Ajanae Respass,Forward,Oregon,West Virginia
Sydney Ritter,Forward,Auburn,West Virginia
Roxanne Vilain,Defender,Portland,West Virginia
Brooke Otto,Defender,Ohio State,Kansas
Michaela Rosenbaum,Midfielder,UCLA,Colorado
Laura Gouvin,Midfielder,Boston College,Colorado
Sami Fisher,Forward,Florida,Colorado
Ryan Campbell,Goalkeeper,Stanford,UCLA
Hayden Crowley,Forward,Washington,New Mexico
Nikki Coryell,Goalkeeper,Valparaiso,Kentucky
Elsi Twombly,M/F,Marquette,Kentucky
Myra Schneider,Midfielder,Oregon,Kentucky
Catherine DeRosa,Midfielder,Maryland,Kentucky
Sophia Mattice,Midfielder,Portland,Kentucky
Makala Woods,Forward,Illinois,Kentucky
Zoe Van de Cloot,Defender,Syracuse,Xavier
Victoria Powell,Forward,Virginia Tech,Santa Clara
Malia CerDon,Midfielder,California Baptist,Abilene Christian
Abby Smith,Midfielder,LSU&nbsp,Abilene Christian
Emma Konsmo,Goalkeeper,Nebraska-Omaha,Abilene Christian
Zivana Labovic,Midfielder,Michigan State,Alabama
Nedya Sawan,Forward,Portland,Alabama
Rikako Hayami,Defender,Arizona Western,Arizona
Cameron Valladares,Forward,Arizona,Arizona State
Jordan Hall,Forward,Arizona,Arkansas
Dejionee Anderson,Defender,Daytona State,Arkansas
Kelsey Oyler,Defender,Gonzaga,Arkansas
Ella Rogers,Midfielder,Xavier,Arkansas
Shelby Sallee,Forward,Xavier,Auburn
Addison Chester,Midfielder,Louisville,Ball State
Delaney Ahearn,Defender,Mississippi State,Ball State
Helenę Tyburczy,Midfielder,Auburn,Boston University
Gianna Savella,Midfielder,Syracuse,Boston University
Kelly Severini,Midfielder,Michigan State,Buffalo
Mattyn Summers,Defender,Saint Louis,BYU
Lliana Casiano,Forward,Alabama State,CSU Bakersfield
Cynthia Ramirez,Midfielder,Allan Hancock,CSU Bakersfield
Nikola Louchard,Midfielder,Charlotte,CSU Bakersfield
Paige Rodriguez,Midfielder,Long Beach CC,CSU Bakersfield
Sara Ybarra,Midfielder,Long Beach State,CSU Bakersfield
Kamy Anaya,Goalkeeper,Mercy,CSU Bakersfield
Alyssa Sims,Defender,New Mexico State,CSU Bakersfield
Emily Estrada,Defender,Oregon,CSU Bakersfield
Alex Klos,Midfielder,Santa Clara,California
Anais Van Doesburg,Goalkeeper,UTRGV,Campbell
Jessica Wheeler,Midfielder,UAB,Coastal Carolina
Brianna Lopez,Midfielder,Holmes CC,Central Arkansas
Emma Wennar,Forward,Clemson,College of Charleston
Tuva Hodne,Defender,Limestone,Charlotte
Coley Sidloski,Forward,Ohio State,Cincinnati
Maggie Altman,Midfielder,Nebraska,Colorado State
Madison Micheletti,Forward,Old Dominion,Coastal Carolina
Delaney Lappin,Forward,Drexel,New Hampshire
Moira Kelley,Defender,Kansas,Virginia
Deighton Wamer,Goalkeeper,Northern Illinois,Youngstown State
Giovanna Castorina,Defender,La Salle,New Hampshire
Nona Reason,Goalkeeper,North Carolina,Clemson
Samara Nunn,Forward,Alcorn State,Wright State
Ashly Berge,Forward,Boise State,Washington State
Sydney Cheesman,Defender,North Carolina,LSU
Bailey Wagenknecht,Forward,Mississippi State,Pittsburgh
Ava Boyd,Forward,Michigan State,Pittsburgh
Maia Ranson,Defender,Eastern Kentucky,IUPUI
Emily Keck,Goalkeeper,Charlotte,IUPUI
Talei Moodie,Defender,San Diego,Cal State Fullerton
Sarah Rosenbaum,Forward,Wisconsin,Virginia Tech
Brie Severns,Forward,Kansas,Texas A&M
Camber Hayes,Midfielder/Defender,Miami (OH),Memphis
Maddie Eskin,Forward,Tennessee,Memphis
Flavie Dube,Forward,Louisiana Tech,Memphis
Kate Howes,Forward,Portland,Memphis
Ryann Reynolds,Forward,Oregon,Kansas State
Grace Thao,Midfielder,Colorado,UCF
Mila Erceg,Forward/Midfielder,West Virginia,UCF
Honoka Hamano,Midfielder,Memphis,UCF
Taylor Jacobson,Defender,South Carolina,UCF
Alyssa O'Brien,Defender,UC Santa Barbara,St. John's
Mackenzee Vance,Midfielder,UCLA,BYU
Kale'a Perry,Midfielder,Lipscomb,Towson
Brooke Birrell,Defender,Maryland,Towson
Sydney Feiler,M/F,VCU,Towson
Coutney Butlion,Forward,La Salle,Towson
Taylor Tolson,Defender,Coastal Carolina,Towson
Leah Chancey,Midfielder,SMU,Rice
Faith Hutchins,Goalkeeper,Rhode Island,Rice
Taylor Rish,Defender,Georgia,Rice
Kat Lazor,Defender,Houston Christian,Rice
Amber Nguyen,Midfielder,Vanderbilt,Georgia
Maddie Baker,Defender,Vanderbilt,Georgia
Tyler Kaseta,Defender,Xavier,Georgia
Marissa Vasquez,Midfielder,San Francisco,Santa Clara
Anessa Arndt,Midfielder,Old Dominion,Illinois
Peighton Steffen,Defender,Creighton,Wisconsin
Malene Nielsen,Goalkeeper,Louisville,St. John's
Carissa Boeckmann,Midfielder,Texas A&M,Florida State
Giana Riley,Forward,Gonzaga,Florida State
Delaney Tellex,Forward/Midfielder,Memphis,Florida
Shira Elinav,Forward,Kansas,Santa Clara
Hayley Howard,Midfielder,Louisville,Tennessee
Sarah Kate Rath,Forward,Cincinnati,Tennessee
Erin Junkmann,Defender,Georgetown,Michigan
Katie Roditis,Forward,USC,Michigan
Julia Coval,Midfielder,Gardner-Webb,Syracuse
Blythe Braun,Goalkeeper,Florida Atlantic,Syracuse
Cierra Collins,Defender,Mississippi State,Syracuse
Julia Dening,Forward,Siena College,Syracuse
Mia Klammer,Forward,Saint Rose,Syracuse
Dalani Stephens,Midfielder,UNC Greensboro,Syracuse
Taylor Bryan,Forward,Virginia Tech,Oregon
Lucy Green,Defender,Mississippi,Oregon
Haley McWhirter,Midfielder,Mississippi State,Oregon
Jayd Sprague,Midfielder,San Francisco,Oregon
Laurence Gladu,Goalkeeper,Penn,USC
Olivia Ramey,Goalkeeper,Oklahoma,Arizona
Jayla Gage,Forward,CSU Bakersfield,Grambling State
Maggie Taitano,Midfielder,Florida State,South Carolina
Emma Misal,Defender,Rutgers,South Carolina
Jordan Bailey,Forward,UT Martin,Central Michigan
Mariangela Jimenez,Midfielder,William Carey,Florida State
Maddy Pirrello,Forward,Florida,Georgia
Sarah Granno,Forward/Midfielder,Memphis,Mississippi
Taylor Prigge,Goalkeeper,Utah,Mississippi
Gianna Angelillo,Midfielder,Miami (FL),Louisville
Berkley Patterson,Midfielder,Texas Tech,Louisville
Ella Kane,Forward,Kentucky,Louisville
Kailey Kimball,Goalkeeper,Purdue,Louisville
Caroline Gray,Defender,Notre Dame,Santa Clara
Kat Jordan,Midfielder,Columbia,Santa Clara
Kennedy Schoennauer,Forward,Utah,Santa Clara
Eva Wirtz,Defender,Notre Dame,Santa Clara
Lykke Johnsen-Morken,Forward,FGCU,Alabama State
