Short Name,Long Name,Division,Conference,Nickname,Colors,City,State,Loadable,NCAA URL
Me.-Presque Isle,University of Maine at Presque Isle,Division III,North Atlantic,Owls,Blue & gold,Presque Isle,Maine,True,https://www.ncaa.com/schools/me-presque-isle
Thomas (ME),Thomas College,Division III,North Atlantic,Terriers,Black & Red,Waterville,Maine,True,https://www.ncaa.com/schools/thomas-me
Eastern Nazarene,Eastern Nazarene College,Division III,North Atlantic,Lions,Red & White,Quincy,Massachusetts,True,https://www.ncaa.com/schools/eastern-nazarene
Lesley,Lesley University,Division III,North Atlantic,Lynx,Grey and Lime,Cambridge,Massachusetts,True,https://www.ncaa.com/schools/lesley
Cazenovia,Cazenovia College,Division III,North Atlantic,Wildcats,Navy Blue & Gold,Cazenovia,New York,True,https://www.ncaa.com/schools/cazenovia
SUNY Canton,SUNY Canton,Division III,North Atlantic,Kangaroos (Roos),Dark Blue and Vegas Gold,Canton,New York,True,https://www.ncaa.com/schools/suny-canton
SUNY Poly,SUNY Polytechnic Institute,Division III,North Atlantic,Wildcats,Blue & Gold,Utica,New York,True,https://www.ncaa.com/schools/sunyit
Suny-Cobleskill,"SUNY, Cobleskill",Division III,North Atlantic,Fighting Tigers,"Black, Orange & White",Cobleskill,New York,True,https://www.ncaa.com/schools/cobleskill-st
Johnson St.,Johnson State College,Division III,North Atlantic,Badgers,"Green, Blue & White",Johnson,Vermont,True,https://www.ncaa.com/schools/johnson-st
Lyndon St.,Lyndon State College,Division III,North Atlantic,Hornets,"Forest Green, White & Gold",Lyndonville,Vermont,True,https://www.ncaa.com/schools/lyndon-st
DePauw,DePauw University,Division III,North Coast Athletic,Tigers,Old Gold & Black,Greencastle,Indiana,True,https://www.ncaa.com/schools/depauw
Wabash,Wabash College,Division III,North Coast Athletic,Little Giants,Scarlet,Crawfordsville,Indiana,True,https://www.ncaa.com/schools/wabash
Denison,Denison University,Division III,North Coast Athletic,Big Red,Red & White,Granville,Ohio,True,https://www.ncaa.com/schools/denison
Hiram,Hiram College,Division III,North Coast Athletic,Terriers,Blue and Red,Hiram,Ohio,True,https://www.ncaa.com/schools/hiram
Kenyon,Kenyon College,Division III,North Coast Athletic,Owls,Purple & White,Gambier,Ohio,True,https://www.ncaa.com/schools/kenyon
Oberlin,Oberlin College,Division III,North Coast Athletic,Yeomen,Crimson & Gold,Oberlin,Ohio,True,https://www.ncaa.com/schools/oberlin
Ohio Wesleyan,Ohio Wesleyan University,Division III,North Coast Athletic,Battling Bishops,Red & Black,Delaware,Ohio,True,https://www.ncaa.com/schools/ohio-wesleyan
Wittenberg,Wittenberg University,Division III,North Coast Athletic,Tigers,Red & White,Springfield,Ohio,True,https://www.ncaa.com/schools/wittenberg
Wooster,College of Wooster,Division III,North Coast Athletic,Fighting Scots,Black & Gold,Wooster,Ohio,True,https://www.ncaa.com/schools/wooster
Aurora,Aurora University,Division III,Northern Athletics Collegiate,Spartans,Royal Blue & White,Aurora,Illinois,True,https://www.ncaa.com/schools/aurora
Benedictine (IL),Benedictine University,Division III,Northern Athletics Collegiate,Eagles,Red & White,Lisle,Illinois,True,https://www.ncaa.com/schools/benedictine-il
Concordia Chicago,Concordia University Chicago,Division III,Northern Athletics Collegiate,Cougars,Maroon & Gold,River Forest,Illinois,True,https://www.ncaa.com/schools/concordia-chicago
Dominican (IL),Dominican University (Ill.),Division III,Northern Athletics Collegiate,Stars,"Navy, Gold & White",River Forest,Illinois,True,https://www.ncaa.com/schools/dominican-il
Illinois Tech,Illinois Tech,Division III,Northern Athletics Collegiate,Scarlet Hawks,"Scarlet, White, and Black",Chicago,Illinois,True,https://www.ncaa.com/schools/iit
Rockford,Rockford University,Division III,Northern Athletics Collegiate,Regents,"Purple, White, Black",Rockford,Illinois,True,https://www.ncaa.com/schools/rockford
Concordia (Wis.),Concordia University Wisconsin,Division III,Northern Athletics Collegiate,Falcons,"Royal Blue, White",Mequon,Wisconsin,True,https://www.ncaa.com/schools/concordia-wi
Edgewood,Edgewood College,Division III,Northern Athletics Collegiate,Eagles,"Black, White & Red",Madison,Wisconsin,True,https://www.ncaa.com/schools/edgewood
Lakeland,Lakeland College,Division III,Northern Athletics Collegiate,Muskies,Navy & Gold,Plymouth,Wisconsin,True,https://www.ncaa.com/schools/lakeland
Marian (WI),Marian University,Division III,Northern Athletics Collegiate,Sabres,Royal & White,Fond Du Lac,Wisconsin,True,https://www.ncaa.com/schools/marian-wi
Milwaukee Engr.,Milwaukee School of Engineering,Division III,Northern Athletics Collegiate,Raiders,Red & White,Milwaukee,Wisconsin,True,https://www.ncaa.com/schools/msoe
St. Norbert,St. Norbert College,Division III,Northern Athletics Collegiate,Green Knights,Dartmouth Green & Old Gold,De Pere,Wisconsin,True,https://www.ncaa.com/schools/st-norbert
Wis. Lutheran,Wisconsin Lutheran College,Division III,Northern Athletics Collegiate,Warriors,Forest Green & White,Milwaukee,Wisconsin,True,https://www.ncaa.com/schools/wis-lutheran
George Fox,George Fox University,Division III,Northwest,Bruins,Navy & Gold,Newberg,Oregon,True,https://www.ncaa.com/schools/george-fox
Lewis & Clark,Lewis & Clark College,Division III,Northwest,Pioneers,Orange & Black,Portland,Oregon,True,https://www.ncaa.com/schools/lewis-clark
Linfield,Linfield College,Division III,Northwest,Wildcats,Royal Purple & Cardinal Red,McMinnville,Oregon,True,https://www.ncaa.com/schools/linfield
Pacific (OR),Pacific University,Division III,Northwest,Boxers,"Red, Black & White",Forest Grove,Oregon,True,https://www.ncaa.com/schools/pacific-or
Willamette,Willamette University,Division III,Northwest,Bearcats,Cardinal & Old Gold,Salem,Oregon,True,https://www.ncaa.com/schools/willamette
Pacific Lutheran,Pacific Lutheran University,Division III,Northwest,Lutes,Black & Gold,Tacoma,Washington,True,https://www.ncaa.com/schools/pacific-lutheran
Puget Sound,University of Puget Sound,Division III,Northwest,Loggers,Maroon & White,Tacoma,Washington,True,https://www.ncaa.com/schools/puget-sound
Whitman,Whitman College,Division III,Northwest,Blues,Blue & Yellow,Walla Walla,Washington,True,https://www.ncaa.com/schools/whitman
Whitworth,Whitworth University,Division III,Northwest,Pirates,Crimson & Black,Spokane,Washington,True,https://www.ncaa.com/schools/whitworth
Baldwin Wallace,Baldwin Wallace University,Division III,Ohio Athletic,Yellow Jackets,Brown & #010101,Berea,Ohio,True,https://www.ncaa.com/schools/baldwin-wallace
Capital,Capital University,Division III,Ohio Athletic,Comets,Purple & White,Columbus,Ohio,True,https://www.ncaa.com/schools/capital
Heidelberg,Heidelberg University,Division III,Ohio Athletic,The Student Prince,"Red, Orange & Black",Tiffin,Ohio,True,https://www.ncaa.com/schools/heidelberg
John Carroll,John Carroll University,Division III,Ohio Athletic,Blue Streaks,Blue & Gold,University Heights,Ohio,True,https://www.ncaa.com/schools/john-carroll
Marietta,Marietta College,Division III,Ohio Athletic,Pioneers,Navy Blue & White,Marietta,Ohio,True,https://www.ncaa.com/schools/marietta
Mount Union,Mount Union College,Division III,Ohio Athletic,Purple Raiders,Purple & White,Alliance,Ohio,True,https://www.ncaa.com/schools/mount-union
Muskingum,Muskingum University,Division III,Ohio Athletic,Fighting Muskies,Black & Magenta,New Concord,Ohio,True,https://www.ncaa.com/schools/muskingum
Ohio Northern,Ohio Northern University,Division III,Ohio Athletic,Polar Bears,Burnt Orange & Black,Ada,Ohio,True,https://www.ncaa.com/schools/ohio-northern
Otterbein,Otterbein University,Division III,Ohio Athletic,Cardinals,Tan & Cardinal,Westerville,Ohio,True,https://www.ncaa.com/schools/otterbein
Wilmington (OH),Wilmington College,Division III,Ohio Athletic,Fightin' Quakers,Green & White,Wilmington,Ohio,True,https://www.ncaa.com/schools/wilmington-oh
Guilford,Guilford College,Division III,Old Dominion Athletic Conf.,Quakers,Crimson & Gray,Greensboro,North Carolina,True,https://www.ncaa.com/schools/guilford
Averett,Averett University,Division III,Old Dominion Athletic Conf.,Cougars,Navy & Gold,Danville,Virginia,True,https://www.ncaa.com/schools/averett
Bridgewater (VA),Bridgewater College,Division III,Old Dominion Athletic Conf.,Eagles,Cardinal & Vegas Gold,Bridgewater,Virginia,True,https://www.ncaa.com/schools/bridgewater-va
East. Mennonite,Eastern Mennonite University,Division III,Old Dominion Athletic Conf.,Royals,Royal Blue & White,Harrisonburg,Virginia,True,https://www.ncaa.com/schools/east-mennonite
Ferrum,Ferrum College,Division III,Old Dominion Athletic Conf.,Panthers,Black & Gold,Ferrum,Virginia,True,https://www.ncaa.com/schools/ferrum
Hampden-Sydney,Hampden-Sydney College,Division III,Old Dominion Athletic Conf.,Tigers,Garnet & Gray,Hampden-Sydney,Virginia,True,https://www.ncaa.com/schools/hampden-sydney
Lynchburg,University of Lynchburg,Division III,Old Dominion Athletic Conf.,Hornets,Grey & Crimson,Lynchburg,Virginia,True,https://www.ncaa.com/schools/lynchburg
Randolph,Randolph College,Division III,Old Dominion Athletic Conf.,WildCats,Black & Yellow,Lynchburg,Virginia,True,https://www.ncaa.com/schools/randolph
Randolph-Macon,Randolph-Macon College,Division III,Old Dominion Athletic Conf.,Yellow Jackets,Lemon & Black,Ashland,Virginia,True,https://www.ncaa.com/schools/randolph-macon
Roanoke,Roanoke College,Division III,Old Dominion Athletic Conf.,Maroons,Maroon & Gray,Salem,Virginia,True,https://www.ncaa.com/schools/roanoke
Shenandoah,Shenandoah University,Division III,Old Dominion Athletic Conf.,Hornets,"Red, White & Midnight Blue",Winchester,Virginia,True,https://www.ncaa.com/schools/shenandoah
Virg-Wesleyan,Virginia Wesleyan College,Division III,Old Dominion Athletic Conf.,Marlins,Navy Blue & Silver,Virginia Beach,Virginia,True,https://www.ncaa.com/schools/va-wesleyan
Wash. & Lee,Washington and Lee University,Division III,Old Dominion Athletic Conf.,Generals,Royal Blue & White,Lexington,Virginia,True,https://www.ncaa.com/schools/wash-lee
Franciscan,Franciscan Univ. of Steubenville,Division III,Presidents' Athletic,Barons,Forest green & vegas gold,Steubenville,Ohio,True,https://www.ncaa.com/schools/franciscan
Chatham,Chatham University,Division III,Presidents' Athletic,Cougars,Purple & Grey,Pittsburgh,Pennsylvania,True,https://www.ncaa.com/schools/chatham
Geneva,Geneva College,Division III,Presidents' Athletic,Golden Tornadoes,"Old gold, white & black",Beaver Falls,Pennsylvania,True,https://www.ncaa.com/schools/geneva
Grove City,Grove City College,Division III,Presidents' Athletic,Wolverines,Crimson and White,Grove City,Pennsylvania,True,https://www.ncaa.com/schools/grove-city
St. Vincent,Saint Vincent College,Division III,Presidents' Athletic,Bearcats,Green & gold,Latrobe,Pennsylvania,True,https://www.ncaa.com/schools/saint-vincent
Thiel,Thiel College,Division III,Presidents' Athletic,Tomcats,Navy Blue & Old Gold,Greenville,Pennsylvania,True,https://www.ncaa.com/schools/thiel
Wash. & Jeff.,Washington and Jefferson College,Division III,Presidents' Athletic,Presidents,Red & Black,Washington,Pennsylvania,True,https://www.ncaa.com/schools/wash-jeff
Waynesburg,Waynesburg University,Division III,Presidents' Athletic,Yellow Jackets,Orange & Black,Waynesburg,Pennsylvania,True,https://www.ncaa.com/schools/waynesburg
Westminster (PA),Westminster College (Pa.),Division III,Presidents' Athletic,Titans,Blue & White,New Wilmington,Pennsylvania,True,https://www.ncaa.com/schools/westminster-pa
Bethany (WV),Bethany College,Division III,Presidents' Athletic,Bison,Green & White,Bethany,West Virginia,True,https://www.ncaa.com/schools/bethany-wv
Farmingdale St.,Farmingdale State College,Division III,Skyline,Rams,Green & White,Farmingdale,New York,True,https://www.ncaa.com/schools/farmingdale-st
Manhattanville,Manhattanville College,Division III,Skyline,Valiants,Crimson & White,Purchase,New York,True,https://www.ncaa.com/schools/manhattanville
Merchant Marine,U.S. Merchant Marine Academy,Division III,Skyline,Mariners,Blue & Gray,Kings Point,New York,True,https://www.ncaa.com/schools/merchant-marine
Mt. St. Mary (NY),Mount Saint Mary College,Division III,Skyline,Knights,"Royal Blue, Black & White",Newburgh,New York,True,https://www.ncaa.com/schools/mt-st-mary-ny
Mt. St. Vincent,University of Mount Saint Vincent,Division III,Skyline,Dolphins,White and Gold,Bronx,New York,True,https://www.ncaa.com/schools/mt-st-vincent
Purchase,Purchase College-SUNY,Division III,Skyline,Panthers,"Royal blue, white & orange",Purchase,New York,True,https://www.ncaa.com/schools/purchase-st
SUNY Maritime,SUNY Maritime College,Division III,Skyline,Privateers,"Cardinal, Navy & White",Throggs Neck,New York,True,https://www.ncaa.com/schools/suny-maritime
Sarah Lawrence,Sarah Lawrence College,Division III,Skyline,Gryphons,Green and White,Bronxville,New York,True,https://www.ncaa.com/schools/sarah-lawrence
St. Joseph's (Brkln),"St. Joseph's University, New York (Brooklyn)",Division III,Skyline,Bears,Navy Blue / White / Gray,Brooklyn,New York,True,https://www.ncaa.com/schools/st-josephs-brkln
St. Joseph's (L.I.),St. Joseph's University (Long Island),Division III,Skyline,Golden Eagles,"Navy Blue, Gold & White",Patchogue,New York,True,https://www.ncaa.com/schools/st-josephs-li
Suny-Old-Westbury,"SUNY, Old Westbury",Division III,Skyline,Panthers,Forest Green & White,Old Westbury,New York,True,https://www.ncaa.com/schools/old-westbury
Yeshiva,Yeshiva University,Division III,Skyline,Maccabees,Royal Blue & White,New York,New York,True,https://www.ncaa.com/schools/yeshiva
Emory & Henry,Emory and Henry College,Division III,South Atlantic,Wasps,Blue & Gold,Emory,Virginia,True,https://www.ncaa.com/schools/emory-henry
Birmingham-So.,Birmingham-Southern College,Division III,Southern Athletic Association,Panthers,Black & Gold,Birmingham,Alabama,True,https://www.ncaa.com/schools/birmingham-so
Hendrix,Hendrix College,Division III,Southern Athletic Association,Warriors,Orange & Black,Conway,Arkansas,True,https://www.ncaa.com/schools/hendrix
Berry,Berry College,Division III,Southern Athletic Association,Vikings,Navy and Silver,Mount Berry,Georgia,True,https://www.ncaa.com/schools/berry
Oglethorpe,Oglethorpe University,Division III,Southern Athletic Association,Stormy Petrels,Black & Gold,Atlanta,Georgia,True,https://www.ncaa.com/schools/oglethorpe
Centre,Centre College,Division III,Southern Athletic Association,Colonels,Gold & White,Danville,Kentucky,True,https://www.ncaa.com/schools/centre
Millsaps,Millsaps College,Division III,Southern Athletic Association,Majors,Purple & White,Jackson,Mississippi,True,https://www.ncaa.com/schools/millsaps
Rhodes,Rhodes College,Division III,Southern Athletic Association,Lynx,"Red, Black & Gray",Memphis,Tennessee,True,https://www.ncaa.com/schools/rhodes
Sewanee,The University of the South,Division III,Southern Athletic Association,Tigers,"Purple, Gold & White",Sewanee,Tennessee,True,https://www.ncaa.com/schools/sewanee
Cal Lutheran,California Lutheran University,Division III,Southern California Intercollegiate Athletic Conf.,Kingsmen,Violet & Gold,Thousand Oaks,California,True,https://www.ncaa.com/schools/cal-lutheran
Caltech,California Institute of Technology,Division III,Southern California Intercollegiate Athletic Conf.,Beavers,Orange and White,Pasadena,California,True,https://www.ncaa.com/schools/caltech
Chapman,Chapman University,Division III,Southern California Intercollegiate Athletic Conf.,Panthers,Cardinal & Gray,Orange,California,True,https://www.ncaa.com/schools/chapman
Claremont-M-S,Claremont-Mudd-Scripps Colleges,Division III,Southern California Intercollegiate Athletic Conf.,Stags,Cardinal & Gold,Claremont,California,True,https://www.ncaa.com/schools/claremont-m-s
La Verne,University of La Verne,Division III,Southern California Intercollegiate Athletic Conf.,"Leopards, Leos",Orange & Green,La Verne,California,True,https://www.ncaa.com/schools/la-verne
Occidental,Occidental College,Division III,Southern California Intercollegiate Athletic Conf.,Tigers,Orange & Black,Los Angeles,California,True,https://www.ncaa.com/schools/occidental
Pomona-Pitzer,Pomona-Pitzer Colleges,Division III,Southern California Intercollegiate Athletic Conf.,Sagehens,"Blue, Orange & White",Claremont,California,True,https://www.ncaa.com/schools/pomona-pitzer
Redlands,University of Redlands,Division III,Southern California Intercollegiate Athletic Conf.,Bulldogs,Maroon & Gray,Redlands,California,True,https://www.ncaa.com/schools/redlands
Whittier,Whittier College,Division III,Southern California Intercollegiate Athletic Conf.,Poets,Purple & Gold,Whittier,California,True,https://www.ncaa.com/schools/whittier
Colorado Col.,Colorado College,Division III,Southern Collegiate Athletic,Tigers,Black & Gold,Colorado Springs,Colorado,True,https://www.ncaa.com/schools/colorado-col
Centenary (LA),Centenary College of Louisiana,Division III,Southern Collegiate Athletic,Gents,Maroon & White,Shreveport,Louisiana,True,https://www.ncaa.com/schools/centenary-la
Austin,Austin College,Division III,Southern Collegiate Athletic,Kangaroos,Crimson & Gold,Sherman,Texas,True,https://www.ncaa.com/schools/austin
Dallas,University of Dallas,Division III,Southern Collegiate Athletic,Crusaders,Navy & White,Irving,Texas,True,https://www.ncaa.com/schools/dallas
Schreiner,Schreiner University,Division III,Southern Collegiate Athletic,Mountaineers,Maroon & White,Kerrville,Texas,True,https://www.ncaa.com/schools/schreiner
Southwestern (TX),Southwestern University,Division III,Southern Collegiate Athletic,Pirates,Black & Gold,Georgetown,Texas,True,https://www.ncaa.com/schools/southwestern-tx
St. Thomas Houston,St. Thomas Houston,Division III,Southern Collegiate Athletic,Celts,Scarlet & Gld,Houston,Texas,True,https://www.ncaa.com/schools/st-thomas-tx
Texas Lutheran,Texas Lutheran University,Division III,Southern Collegiate Athletic,Bulldogs,Black & Gold,Seguin,Texas,True,https://www.ncaa.com/schools/texas-lutheran
Trinity (TX),Trinity University (Texas),Division III,Southern Collegiate Athletic,Tigers,Maroon & White,San Antonio,Texas,True,https://www.ncaa.com/schools/trinity-tx
Lyon College,Lyon College,Division III,St. Louis Intercollegiate Athletic,Unknown,Unknown,Batesville,Arkansas,True,https://www.ncaa.com/schools/lyon
Blackburn,Blackburn College,Division III,St. Louis Intercollegiate Athletic,Battlin' Beavers,Scarlet & Black,Carlinville,Illinois,True,https://www.ncaa.com/schools/blackburn
Eureka,Eureka College,Division III,St. Louis Intercollegiate Athletic,Red Devils,Maroon & Gold,Eureka,Illinois,True,https://www.ncaa.com/schools/eureka
Greenville,Greenville University,Division III,St. Louis Intercollegiate Athletic,Panthers,Orange & Black,Greenville,Illinois,True,https://www.ncaa.com/schools/greenville
Principia,Principia College,Division III,St. Louis Intercollegiate Athletic,Panthers,Gold & Blue,Elsah,Illinois,True,https://www.ncaa.com/schools/principia
Spalding,Spalding University,Division III,St. Louis Intercollegiate Athletic,Golden Eagles,Blue & Gold,Louisville,Kentucky,True,https://www.ncaa.com/schools/spalding
Fontbonne,Fontbonne University,Division III,St. Louis Intercollegiate Athletic,Griffins,Purple & Gold,Saint Louis,Missouri,True,https://www.ncaa.com/schools/fontbonne
Webster,Webster University,Division III,St. Louis Intercollegiate Athletic,Gorloks,"Gold, Midnight Blue & White",St. Louis,Missouri,True,https://www.ncaa.com/schools/webster
Westminster (MO),Westminster College (Mo.),Division III,St. Louis Intercollegiate Athletic,Blue Jays,Blue & White,Fulton,Missouri,True,https://www.ncaa.com/schools/westminster-mo
Brockport,College at Brockport,Division III,State University of New York Athletic,Golden Eagles,Green & Gold,Brockport,New York,True,https://www.ncaa.com/schools/brockport
Buffalo St.,Buffalo State College,Division III,State University of New York Athletic,Bengals,Orange & Black,Buffalo,New York,True,https://www.ncaa.com/schools/buffalo-st
Fredonia,SUNY at Fredonia,Division III,State University of New York Athletic,Blue Devils,Blue & White,Fredonia,New York,True,https://www.ncaa.com/schools/fredonia-st
Plattsburgh State,Plattsburgh State University,Division III,State University of New York Athletic,Cardinals,Cardinal Red & White,Plattsburgh,New York,True,https://www.ncaa.com/schools/plattsburgh-st
SUNY Cortland,"SUNY, Cortland",Division III,State University of New York Athletic,Red Dragons,Red & White,Cortland,New York,True,https://www.ncaa.com/schools/suny-cortland
SUNY Geneseo,"SUNY, Geneseo",Division III,State University of New York Athletic,Knights,"Navy Blue, Gray & White",Geneseo,New York,True,https://www.ncaa.com/schools/suny-geneseo
SUNY New Paltz,SUNY New Paltz,Division III,State University of New York Athletic,Hawks,Orange & Blue,New Paltz,New York,True,https://www.ncaa.com/schools/suny-new-paltz
SUNY Oneonta,SUNY Oneonta,Division III,State University of New York Athletic,Red Dragons,Red & White,Oneonta,New York,True,https://www.ncaa.com/schools/oneonta-st
SUNY Potsdam,"SUNY, Potsdam",Division III,State University of New York Athletic,Bears,Maroon & Gray,Potsdam,New York,True,https://www.ncaa.com/schools/suny-potsdam
Suny-Oswego,"SUNY, Oswego",Division III,State University of New York Athletic,Lakers,Hunter Green and Golden Yellow,Oswego,New York,True,https://www.ncaa.com/schools/oswego-st
Berea College,Berea College,Division III,USA South,Mountaineers,Blue and white,Berea,Kentucky,True,https://www.ncaa.com/schools/berea
Mary Baldwin,Mary Baldwin University,Division III,USA South,Fighting Squirrels,"Black, White & Mary Gold",Staunton,Virginia,True,https://www.ncaa.com/schools/mary-baldwin
Brevard,Brevard College,Division III,USA South Athletic,Tornados,Royal Blue and White,Brevard,North Carolina,True,https://www.ncaa.com/schools/brevard
Greensboro,Greensboro College,Division III,USA South Athletic,Greensboro Pride,"Green, White & Silver",Greensboro,North Carolina,True,https://www.ncaa.com/schools/greensboro
Methodist,Methodist University,Division III,USA South Athletic,Monarchs,Green & Gold,Fayetteville,North Carolina,True,https://www.ncaa.com/schools/methodist
North Carolina Wesleyan,North Carolina Wesleyan College,Division III,USA South Athletic,Battling Bishops,Navy Blue & Vegas Gold,Rocky Mount,North Carolina,True,https://www.ncaa.com/schools/nc-wesleyan
Pfeiffer,Pfeiffer University,Division III,USA South Athletic,Falcons,Black & Gold,Misenheimer,North Carolina,True,https://www.ncaa.com/schools/pfeiffer
Southern Virginia,Southern Virginia University,Division III,USA South Athletic,Knights,Crimson and White,Buena Vista,Virginia,True,https://www.ncaa.com/schools/southern-va
Notre Dame (MD),Notre Dame of Maryland University,Division III,United East,Unknown,Navy Blue & White,Baltimore,Maryland,True,https://www.ncaa.com/schools/notre-dame-md
Saint-Mary's (MD),St. Mary's College (MD),Division III,United East,Seahawks,Navy Blue and White,St. Mary's City,Maryland,True,https://www.ncaa.com/schools/st-marys-md
St. Elizabeth,College of Saint Elizabeth,Division III,United East,Eagles,Navy Blue and White,Morristown,New Jersey,True,https://www.ncaa.com/schools/st-elizabeth
Bryn Athyn,Bryn Athyn College,Division III,United East,Lions,Red and White,Bryn Athyn,Pennsylvania,True,https://www.ncaa.com/schools/bryn-athyn
Cairn,Cairn University,Division III,United East,Highlanders,Cardinal & Black & White,Langhorne,Pennsylvania,True,https://www.ncaa.com/schools/cairn
Clarks Summit University,Clarks Summit University,Division III,United East,Defenders,"Royal Blue, Cool Grey, Charcoal",Clarks Summit,Pennsylvania,True,https://www.ncaa.com/schools/baptist-bible-pa
Keystone,Keystone College,Division III,United East,Giants,"Navy, Orange & White",La Plume,Pennsylvania,True,https://www.ncaa.com/schools/keystone
Lancaster Bible,Lancaster Bible College,Division III,United East,Chargers,Crimson & White,Lancaster,Pennsylvania,True,https://www.ncaa.com/schools/lancaster-bible
Penn College,Penn College of Technology,Division III,United East,Unknown,blue & white,Williamsport,Pennsylvania,True,https://www.ncaa.com/schools/penn-tech
Penn St.-Abington,Penn State Abington,Division III,United East,Nittany Lions,Blue & White,Abington,Pennsylvania,True,https://www.ncaa.com/schools/penn-st-abington
Penn St.-Berks,Penn State Berks College,Division III,United East,Nittany Lions,Blue & White,Reading,Pennsylvania,True,https://www.ncaa.com/schools/penn-st-berks
Penn St.-Harrisburg,Penn State Harrisburg,Division III,United East,Lions,Navy & White,Middletown,Pennsylvania,True,https://www.ncaa.com/schools/penn-st-harrisburg
Rosemont,Rosemont College,Division III,United East,Ravens,Maroon & Grey,Rosemont,Pennsylvania,True,https://www.ncaa.com/schools/rosemont
Valley Forge,University of Valley Forge,Division III,United East,The Patriots,"Navy, Cardinal, Grey",Phoenixville,Pennsylvania,True,https://www.ncaa.com/schools/valley-forge-chrst
Wilson,Wilson College,Division III,United East,Phoenix,"Blue, Grey & White",Chambersburg,Pennsylvania,True,https://www.ncaa.com/schools/wilson
Emory,Emory University,Division III,University Athletic Association,Eagles,Blue & Gold,Atlanta,Georgia,True,https://www.ncaa.com/schools/emory
Brandeis,Brandeis University,Division III,University Athletic Association,Judges,Blue & White,Waltham,Massachusetts,True,https://www.ncaa.com/schools/brandeis
Washington-St. Louis,Washington University (Missouri),Division III,University Athletic Association,Bears,Red & Green,St. Louis,Missouri,True,https://www.ncaa.com/schools/washington-st-louis
New York U.,New York University,Division III,University Athletic Association,Violets,Purple & White,New York,New York,True,https://www.ncaa.com/schools/new-york-u
Case Western Reserve,Case Western Reserve University,Division III,University Athletic Association,Spartans,"Blue, Gray & White",Cleveland,Ohio,True,https://www.ncaa.com/schools/case
Carnegie Mellon,Carnegie Mellon University,Division III,University Athletic Association,Tartans,"Cardinal, White & Grey",Pittsburgh,Pennsylvania,True,https://www.ncaa.com/schools/carnegie-mellon
Wesleyan (GA),Wesleyan College,Division III,Unknown,Unknown,Purple & White,Macon,Georgia,True,https://www.ncaa.com/schools/wesleyan-ga
Mount Holyoke,Mount Holyoke College,Division III,Unknown,Unknown,Blue & White,South Hadley,Massachusetts,True,https://www.ncaa.com/schools/mount-holyoke
Smith,Smith College,Division III,Unknown,Unknown,"Yellow, White & Navy",Northampton,Massachusetts,True,https://www.ncaa.com/schools/smith
Wellesley,Wellesley College,Division III,Unknown,Unknown,Blue & White,Wellesley,Massachusetts,True,https://www.ncaa.com/schools/wellesley
Saint Benedict,College of Saint Benedict,Division III,Unknown,Unknown,Red & White,St. Joseph,Minnesota,True,https://www.ncaa.com/schools/st-benedict
Bryn Mawr,Bryn Mawr College,Division III,Unknown,Unknown,Yellow and White,Bryn Mawr,Pennsylvania,True,https://www.ncaa.com/schools/bryn-mawr
Cedar Crest,Cedar Crest College,Division III,Unknown,Unknown,Black and Yellow,Allentown,Pennsylvania,True,https://www.ncaa.com/schools/cedar-crest
Hollins,Hollins University,Division III,Unknown,Unknown,Green & Gold,Roanoke,Virginia,True,https://www.ncaa.com/schools/hollins
Sweet Briar,Sweet Briar College,Division III,Unknown,Unknown,"Pink (#ed2b74), Midnight Navy (#002a4b)",Sweet Briar,Virginia,True,https://www.ncaa.com/schools/sweet-briar
Maranatha Baptist,Maranatha Baptist University,Division III,Unknown,Sabercats,Navy Blue & Gold,Watertown,Wisconsin,True,https://www.ncaa.com/schools/maranatha-baptist
Bethany Lutheran,Bethany Lutheran College,Division III,Upper Midwest Athletic,Vikings,"Red, white & black",Mankato,Minnesota,True,https://www.ncaa.com/schools/bethany-lutheran
Crown (MN),Crown College,Division III,Upper Midwest Athletic,Polars,Purple & Gray,St. Bonifacius,Minnesota,True,https://www.ncaa.com/schools/crown-mn
Martin Luther,Martin Luther College,Division III,Upper Midwest Athletic,Knights,"Black, Red & White",NEW ULM,Minnesota,True,https://www.ncaa.com/schools/martin-luther
Minn.-Morris,University of Minnesota-Morris,Division III,Upper Midwest Athletic,Cougars,Maroon & Gold,Morris,Minnesota,True,https://www.ncaa.com/schools/minn-morris
North Central (MN),North Central University,Division III,Upper Midwest Athletic,Rams,Navy blue & vegas gold,Minneapolis,Minnesota,True,https://www.ncaa.com/schools/north-central-mn
Northwestern-St. Paul,University of Northwestern-St. Paul,Division III,Upper Midwest Athletic,Eagles,"Purple, Gold",St. Paul,Minnesota,True,https://www.ncaa.com/schools/northwestern-st-paul
Northland,Northland College,Division III,Upper Midwest Athletic,Lumberjacks,Orange and Navy,Ashland,Wisconsin,True,https://www.ncaa.com/schools/northland
Wis.-Superior,University of Wisconsin-Superior,Division III,Upper Midwest Athletic,Yellowjackets,"Gold, Black, & White",Superior,Wisconsin,True,https://www.ncaa.com/schools/wis-superior
Wis.-Eau Claire,University of Wisconsin-Eau Claire,Division III,Wisconsin Intercollegiate Athletic,Blugolds,Navy & Gold,Eau Claire,Wisconsin,True,https://www.ncaa.com/schools/wis-eau-claire
