Rank,Name,Conference,Record,Road,Neutral,Home,Non-Div 1
75,App State,Sun Belt,9-6-3,3-5-1,0-1-0,6-0-2,0-0-0
76,Wake Forest,ACC,10-3-5,5-3-1,0-0-0,5-0-4,0-0-0
77,South Fla.,AAC,9-6-2,4-4-1,0-1-0,5-1-1,1-0-0
78,Northwestern,Big Ten,9-5-4,5-3-1,0-0-0,4-2-3,0-0-0
79,Florida,SEC,6-5-6,2-3-4,0-0-0,4-2-2,0-0-0
80,Grand Canyon,WAC,14-5-4,3-3-3,3-0-0,8-2-1,0-0-0
81,San Diego St.,Mountain West,14-3-3,5-2-1,1-0-1,8-1-1,0-0-0
82,Washington,Pac-12,9-5-5,4-1-3,0-0-0,5-4-2,0-0-0
83,Minnesota,Big Ten,7-6-4,2-3-4,0-0-0,5-3-0,0-0-0
84,Illinois,Big Ten,6-8-3,2-5-3,0-0-0,4-3-0,0-0-0
85,Maine,America East,11-2-6,5-2-3,0-0-0,6-0-3,0-0-0
86,North Texas,AAC,8-5-3,4-3-1,0-0-0,4-2-2,0-0-0
87,Western Mich.,MAC,12-4-3,7-2-1,0-0-0,5-2-2,0-0-0
88,Quinnipiac,MAAC,13-4-1,4-2-1,0-0-0,9-2-0,0-0-0
89,Hofstra,CAA,12-5-1,6-3-1,0-0-0,6-2-0,0-0-0
90,Long Beach St.,Big West,10-6-4,4-5-0,0-0-0,6-1-4,0-0-0
91,New Mexico St.,CUSA,10-6-3,5-3-0,1-1-0,4-2-3,0-0-0
92,Virginia Tech,ACC,7-8-3,4-4-2,0-0-0,3-4-1,0-0-0
93,Colorado St.,Mountain West,12-6-4,6-2-2,1-1-1,5-3-1,0-0-0
94,UC Irvine,Big West,10-8-6,4-4-4,2-0-0,4-4-2,0-0-0
95,Oklahoma St.,Big 12,12-8-0,3-6-0,0-1-0,9-1-0,0-0-0
96,Montana,Big Sky,12-3-3,5-1-2,2-0-0,5-2-1,1-0-0
97,Saint Mary's (CA),WCC,10-5-3,5-4-1,0-0-0,5-1-2,0-0-0
98,FGCU,ASUN,12-5-5,5-4-2,1-0-1,6-1-2,0-0-0
99,Yale,Ivy League,5-6-5,2-3-4,0-0-0,3-3-1,0-0-0
100,Missouri St.,MVC,12-2-5,6-0-2,0-2-0,6-0-3,0-0-0
101,Virginia,ACC,8-3-6,2-2-2,0-0-0,6-1-4,0-0-0
102,Lipscomb,ASUN,14-5-1,5-1-1,0-0-0,9-4-0,0-0-0
103,IUPUI,Horizon,11-3-5,4-1-3,0-0-1,7-2-1,0-0-0
104,Utah,Pac-12,6-8-6,4-2-5,0-0-0,2-6-1,0-0-0
105,Texas St.,Sun Belt,9-7-4,2-4-2,1-1-0,6-2-2,0-0-0
106,East Carolina,AAC,9-5-5,6-2-4,0-1-0,3-2-1,0-0-0
107,Baylor,Big 12,9-7-3,5-2-2,0-1-0,4-4-1,0-0-0
108,Drake,MVC,12-4-3,4-1-1,0-0-0,8-3-2,1-0-0
109,Bowling Green,MAC,10-6-2,5-3-1,0-1-0,5-2-1,0-0-0
110,Oklahoma,Big 12,8-10-2,1-6-1,1-2-0,6-2-1,0-0-0
111,ETSU,SoCon,11-3-5,3-2-3,0-0-0,8-1-2,0-0-0
112,Denver,Summit League,9-2-7,2-1-5,0-0-0,7-1-2,0-0-0
113,Army West Point,Patriot,10-6-4,2-5-3,0-0-0,8-1-1,0-0-0
114,Boise St.,Mountain West,11-4-6,4-1-3,1-1-1,6-2-2,0-0-0
115,La Salle,Atlantic 10,12-6-3,5-3-2,0-0-0,7-3-1,0-0-0
116,Northern Ky.,Horizon,8-4-8,3-2-5,0-0-1,5-2-2,0-0-0
117,Missouri,SEC,5-9-3,2-5-1,1-0-0,2-4-2,0-0-0
118,Butler,Big East,6-8-6,1-5-2,0-0-0,5-3-4,0-0-0
119,Oregon St.,Pac-12,4-8-7,1-6-1,0-0-0,3-2-6,0-0-0
120,Tennessee Tech,OVC,9-6-4,2-4-2,0-0-0,7-2-2,0-0-0
121,Kent St.,MAC,12-7-2,7-2-1,0-2-0,5-3-1,0-0-0
122,Charlotte,AAC,9-7-4,6-2-1,1-1-0,2-4-3,0-0-0
123,Cincinnati,Big 12,4-8-7,0-4-5,1-1-0,3-3-2,0-0-0
124,NC State,ACC,3-9-6,1-5-3,0-0-0,2-4-3,0-0-0
125,Loyola Maryland,Patriot,11-6-0,2-4-0,0-0-0,9-2-0,0-0-0
126,Omaha,Summit League,7-5-7,2-3-4,1-0-0,4-2-3,0-0-0
127,San Francisco,WCC,6-9-3,3-6-1,0-0-0,3-3-2,0-0-0
128,Fla. Atlantic,AAC,8-7-5,3-3-2,1-1-0,4-3-3,0-0-0
129,Cal Poly,Big West,10-8-3,4-4-2,1-1-0,5-3-1,0-0-0
130,Boston U.,Patriot,7-7-6,1-4-3,0-0-0,6-3-3,0-0-0
131,Marquette,Big East,5-10-4,3-4-2,0-0-0,2-6-2,0-0-0
132,Central Conn. St.,NEC,10-5-5,6-3-1,0-0-0,4-2-4,0-0-0
133,Georgia St.,Sun Belt,9-5-6,3-2-3,1-1-0,5-2-3,0-0-0
134,Louisiana,Sun Belt,7-9-2,3-5-2,0-1-0,4-3-0,0-0-0
135,West Virginia,Big 12,7-8-4,2-6-1,0-0-0,5-2-3,0-0-0
136,Radford,Big South,11-6-2,2-6-2,2-0-0,7-0-0,1-0-0
137,Massachusetts,Atlantic 10,9-5-4,3-4-3,0-0-0,6-1-1,0-0-0
138,UNI,MVC,11-5-1,3-4-1,0-0-0,8-1-0,2-0-0
139,Chattanooga,SoCon,10-7-1,4-5-0,0-1-0,6-1-1,0-0-0
140,Northeastern,CAA,8-4-6,3-3-2,0-0-1,5-1-3,0-0-0
141,William & Mary,CAA,9-4-7,5-3-3,0-0-1,4-1-3,0-0-0
142,California Baptist,WAC,11-2-6,5-0-4,0-0-0,6-2-2,0-0-0
143,Furman,SoCon,6-5-7,3-5-3,0-0-1,3-0-3,1-0-0
144,Valparaiso,MVC,11-6-6,5-5-3,2-0-0,4-1-3,0-0-0
145,Boston College,ACC,3-9-6,1-5-3,0-0-0,2-4-3,0-0-0
146,Marshall,Sun Belt,7-9-1,2-4-1,0-0-0,5-5-0,0-0-0
147,UAB,AAC,6-7-5,2-3-3,0-1-0,4-3-2,0-0-0
148,DePaul,Big East,6-7-4,3-4-1,0-0-0,3-3-3,0-0-0
149,Buffalo,MAC,7-5-6,5-1-4,0-0-0,2-4-2,0-0-0
150,Utah Tech,WAC,8-7-5,3-3-2,0-2-0,5-2-3,0-0-0
151,Lehigh,Patriot,7-5-5,3-4-3,0-0-0,4-1-2,0-0-0
152,UMass Lowell,America East,5-6-7,1-3-6,0-0-0,4-3-1,0-0-0
153,Creighton,Big East,4-9-5,2-4-3,0-0-0,2-5-2,0-0-0
154,Morehead St.,OVC,9-6-5,4-5-1,1-0-0,4-1-4,0-0-0
155,Idaho,Big Sky,12-5-2,8-3-0,1-0-0,3-2-2,0-0-0
156,Ohio,MAC,9-8-5,3-5-3,2-0-0,4-3-2,0-0-0
157,Louisville,ACC,4-9-5,0-7-1,0-0-0,4-2-4,0-0-0
158,Oral Roberts,Summit League,8-7-4,4-5-2,1-0-0,3-2-2,0-0-0
159,Merrimack,NEC,9-4-4,4-1-2,0-0-0,5-3-2,1-0-0
160,Vermont,America East,10-7-1,5-5-0,0-0-0,5-2-1,0-0-0
161,UTSA,AAC,7-7-4,3-4-3,0-0-0,4-3-1,0-0-0
162,New Mexico,Mountain West,5-6-6,2-1-3,0-0-0,3-5-3,0-0-0
163,VCU,Atlantic 10,5-9-4,3-4-2,0-0-0,2-5-2,0-0-0
164,Cornell,Ivy League,4-5-6,1-3-3,0-0-0,3-2-3,0-0-0
