Rank,Name,Conference,Record,Road,Neutral,Home,Non-Div 1
321,Eastern Ill.,OVC,3-9-4,2-4-2,0-1-0,1-4-2,1-0-0
322,Green Bay,Horizon,0-11-5,0-6-3,0-0-0,0-5-2,0-0-0
323,Stonehill,NEC,2-13-3,0-8-1,0-0-0,2-5-2,0-0-0
324,St. Bonaventure,Atlantic 10,3-8-6,2-3-3,0-0-0,1-5-3,0-0-0
325,Jacksonville,ASUN,2-11-4,0-6-2,0-0-0,2-5-2,1-0-0
326,Eastern Wash.,Big Sky,1-14-1,1-8-0,0-0-0,0-6-1,1-0-0
327,Northern Colo.,Big Sky,1-13-4,1-10-1,0-0-0,0-3-3,0-0-0
328,Niagara,MAAC,5-10-3,2-5-2,0-0-0,3-5-1,0-0-0
329,Stetson,ASUN,3-12-3,3-4-1,0-0-0,0-8-2,0-0-0
330,Lindenwood,OVC,3-13-1,1-9-0,0-0-0,2-4-1,0-0-0
331,Le Moyne,NEC,2-12-4,1-7-2,0-0-0,1-5-2,0-0-0
332,Saint Francis (PA),NEC,3-12-2,1-8-1,0-0-0,2-4-1,0-0-0
333,Iona,MAAC,1-15-3,0-11-1,0-0-0,1-4-2,0-0-0
334,VMI,SoCon,2-17-0,1-8-0,0-0-0,1-9-0,0-0-0
335,Hampton,CAA,0-18-0,0-11-0,0-0-0,0-7-0,0-0-0
336,Texas Southern,SWAC,6-12-1,3-6-1,1-1-0,2-5-0,1-1-0
337,Alcorn,SWAC,3-11-1,0-6-1,0-3-0,3-2-0,1-0-0
338,Ark.-Pine Bluff,SWAC,6-11-0,2-6-0,1-1-0,3-4-0,3-0-1
339,Saint Peter's,MAAC,4-11-0,2-5-0,0-0-0,2-6-0,0-0-0
340,Nicholls,Southland,1-17-1,0-10-0,0-0-0,1-7-1,0-0-0
341,Chicago St.,DI Independent,3-11-0,2-9-0,0-0-0,1-2-0,1-1-0
342,South Carolina St.,DI Independent,0-12-0,0-7-0,0-1-0,0-4-0,0-0-1
343,Alabama A&M,SWAC,3-16-0,1-10-0,0-1-0,2-5-0,0-0-0
344,Prairie View,SWAC,3-12-1,1-6-1,0-0-0,2-6-0,0-0-0
345,Alabama St.,SWAC,1-12-2,1-7-0,0-0-0,0-5-2,1-0-1
346,Mississippi Val.,SWAC,1-11-1,1-6-0,0-1-0,0-4-1,1-0-0
347,Delaware St.,NEC,0-15-1,0-8-0,0-0-0,0-7-1,0-0-0
